backer_info,backer_id,cf_id,name,email
"{""backer_id"": ""av166"", ""cf_id"": 968, ""name"": ""Angelo Vincent"", ""email"": ""avincent@live.com""}",av166,968,Angelo Vincent,avincent@live.com
"{""backer_id"": ""ha127"", ""cf_id"": 563, ""name"": ""Hubert Arnold"", ""email"": ""harnold@yandex.com""}",ha127,563,Hubert Arnold,harnold@yandex.com
"{""backer_id"": ""lg794"", ""cf_id"": 65, ""name"": ""Loris Goulet"", ""email"": ""lgoulet@yandex.com""}",lg794,65,Loris Goulet,lgoulet@yandex.com
"{""backer_id"": ""tb566"", ""cf_id"": 563, ""name"": ""Teodora Brunelli"", ""email"": ""tbrunelli@outlook.com""}",tb566,563,Teodora Brunelli,tbrunelli@outlook.com
"{""backer_id"": ""lh506"", ""cf_id"": 563, ""name"": ""Lexie Hunt"", ""email"": ""lhunt@live.com""}",lh506,563,Lexie Hunt,lhunt@live.com
"{""backer_id"": ""lh382"", ""cf_id"": 563, ""name"": ""Lambert Huber"", ""email"": ""lhuber@live.com""}",lh382,563,Lambert Huber,lhuber@live.com
"{""backer_id"": ""em444"", ""cf_id"": 563, ""name"": ""Emmy Morin"", ""email"": ""emorin@live.com""}",em444,563,Emmy Morin,emorin@live.com
"{""backer_id"": ""at582"", ""cf_id"": 1572, ""name"": ""Armonda Trani"", ""email"": ""atrani@live.com""}",at582,1572,Armonda Trani,atrani@live.com
"{""backer_id"": ""id772"", ""cf_id"": 1911, ""name"": ""Ilana Duke"", ""email"": ""iduke@outlook.com""}",id772,1911,Ilana Duke,iduke@outlook.com
"{""backer_id"": ""lw275"", ""cf_id"": 65, ""name"": ""Leigha Wright"", ""email"": ""lwright@live.com""}",lw275,65,Leigha Wright,lwright@live.com
"{""backer_id"": ""ub509"", ""cf_id"": 65, ""name"": ""Uwe Becker"", ""email"": ""ubecker@yahoo.com""}",ub509,65,Uwe Becker,ubecker@yahoo.com
"{""backer_id"": ""ha915"", ""cf_id"": 1572, ""name"": ""Hawa Audy"", ""email"": ""haudy@gmail.com""}",ha915,1572,Hawa Audy,haudy@gmail.com
"{""backer_id"": ""bb881"", ""cf_id"": 968, ""name"": ""Bia Bonura"", ""email"": ""bbonura@yahoo.com""}",bb881,968,Bia Bonura,bbonura@yahoo.com
"{""backer_id"": ""mg332"", ""cf_id"": 65, ""name"": ""Michel Garner"", ""email"": ""mgarner@protonmail.com""}",mg332,65,Michel Garner,mgarner@protonmail.com
"{""backer_id"": ""kd700"", ""cf_id"": 1572, ""name"": ""Karole Dunn"", ""email"": ""kdunn@yahoo.com""}",kd700,1572,Karole Dunn,kdunn@yahoo.com
"{""backer_id"": ""as695"", ""cf_id"": 563, ""name"": ""Arndt Schreiber"", ""email"": ""aschreiber@yahoo.com""}",as695,563,Arndt Schreiber,aschreiber@yahoo.com
"{""backer_id"": ""iv513"", ""cf_id"": 65, ""name"": ""Imen Villeneuve"", ""email"": ""ivilleneuve@yahoo.com""}",iv513,65,Imen Villeneuve,ivilleneuve@yahoo.com
"{""backer_id"": ""ab842"", ""cf_id"": 65, ""name"": ""Alcina Bonadonna"", ""email"": ""abonadonna@yandex.com""}",ab842,65,Alcina Bonadonna,abonadonna@yandex.com
"{""backer_id"": ""re181"", ""cf_id"": 1114, ""name"": ""Raelene Espinoza"", ""email"": ""respinoza@outlook.com""}",re181,1114,Raelene Espinoza,respinoza@outlook.com
"{""backer_id"": ""kn133"", ""cf_id"": 65, ""name"": ""Kati Nash"", ""email"": ""knash@protonmail.com""}",kn133,65,Kati Nash,knash@protonmail.com
"{""backer_id"": ""gj893"", ""cf_id"": 65, ""name"": ""Georg Jager"", ""email"": ""gjager@yahoo.com""}",gj893,65,Georg Jager,gjager@yahoo.com
"{""backer_id"": ""vp915"", ""cf_id"": 948, ""name"": ""Virgilio Paolella"", ""email"": ""vpaolella@gmail.com""}",vp915,948,Virgilio Paolella,vpaolella@gmail.com
